Epoch,Hidden Dimension,Num of ConvLayer,Num of TimeSteps,learning rate,weight_decay,dropout,best_score,task
20,253,2,5,2.23868642,4.78149222,0.0843935,0.016424265,carbon_cnt
6,133,3,4,2.85911936,4.3755537,0.127153524,0.01640188,noncarbon_cnt
3,167,2,4,3.22235583,3.94547476,0.47311946,0.020871572,proton_cnt
5,219,5,4,2.98733051,4.32684878,0.3165155,0.043582848,molecule_energy
20,253,2,5,2.23868642,4.78149222,0.0843935,0.012651912,aromatic_cnt
2,261,3,5,4.05634138,4.9683029,0.011849793,0.018371595,inring_cnt
2,261,3,5,4.05634138,4.9683029,0.011849793,0.027114306,asa
20,253,2,5,2.23868642,4.78149222,0.0843935,0.016328803,tpsa
6,133,3,4,2.85911936,4.3755537,0.127153524,0.070129902,logp
2,261,3,5,4.05634138,4.9683029,0.011849793,0.017858868,single_tripple_cnt
6,133,3,4,2.85911936,4.3755537,0.127153524,0.059667961,group_cnt
20,253,2,5,2.23868642,4.78149222,0.0843935,0.029040788,polar_coef
