Epoch,Hidden Dimension,Num of ConvLayer,Num of TimeSteps,learning rate,weight_decay,dropout,best_score,task
30,146,2,2,5,5,0,0.015863998,carbon_cnt
22,270,4,5,2.16919095,3.2999958,0.199800153,0.020556179,noncarbon_cnt
30,146,2,2,5,5,0,0.019475721,proton_cnt
8,272,4,2,2.28887258,4.3605468,0.43835252,0.042019648,molecule_energy
2,176,3,5,2.48124917,4.63781529,0.23922517,0.017819432,aromatic_cnt
19,59,4,2,2.94345533,4.24125518,0.32461761,0.017291842,inring_cnt
2,176,3,5,2.48124917,4.63781529,0.23922517,0.024465718,asa
2,176,3,5,2.48124917,4.63781529,0.23922517,0.019687921,tpsa
11,251,5,4,2.6851441,4.65817284,0.27948423,0.063004639,logp
30,291,6,2,4.05733384,5,0,0.018544715,single_tripple_cnt
23,241,5,5,2.91825209,4.24892417,0.026725756,0.050938599,group_cnt
8,272,4,2,2.28887258,4.3605468,0.43835252,0.035514214,polar_coef
