Epoch,Hidden Dimension,Num of ConvLayer,Num of TimeSteps,learning rate,weight_decay,dropout,best_score,task
29,41,2,6,2,5,0,0.018757709,carbon_cnt
30,41,2,6,2,5,0.003598883,0.023857639,noncarbon_cnt
16,141,5,2,2.59577308,3.44848513,0.24548367,0.08491508,proton_cnt
30,41,2,6,2,5,0,0.041230617,molecule_energy
2,208,5,4,2.68644101,3.99230767,0.24862505,0.152724109,aromatic_cnt
19,59,4,2,2.94345533,4.24125518,0.32461761,0.157935741,inring_cnt
29,41,2,6,2,5,0,0.024728933,asa
18,59,5,3,2.05633722,4.61212324,0.08687267,0.038316712,tpsa
12,109,4,2,3.07394879,4.82280087,0.2568812,0.111868471,logp
11,251,5,4,2.6851441,4.65817284,0.27948423,0.095946504,single_tripple_cnt
19,59,4,2,2.94345533,4.24125518,0.32461761,0.082019428,group_cnt
2,208,5,4,2.68644101,3.99230767,0.24862505,0.077338979,polar_coef
