Epoch,Hidden Dimension,Num of ConvLayer,Num of TimeSteps,learning rate,weight_decay,dropout,best_score,task
28,22,6,2,2,5,0,0.014247946,carbon_cnt
30,41,2,6,2,5,0,0.022893001,noncarbon_cnt
15,141,2,5,2.30501787,4.22734992,0.40341281,0.063669286,proton_cnt
9,70,2,5,2.70322379,2.8829186,0.1427473,0.070660749,molecule_energy
23,241,5,5,2.91825209,4.24892417,0.026725756,0.225654195,aromatic_cnt
23,241,5,5,2.91825209,4.24892417,0.026725756,0.218215562,inring_cnt
9,70,2,5,2.70322379,2.8829186,0.1427473,0.065267308,asa
4,126,3,3,3.06018304,2.86113184,0.066603557,0.097825609,tpsa
2,208,5,4,2.68644101,3.99230767,0.24862505,0.237898966,logp
22,199,2,4,2.45744618,4.41317831,0.42996301,0.143855914,single_tripple_cnt
27,184,2,2,2.34219145,4.65885356,0,0.190695338,group_cnt
2,208,5,4,2.68644101,3.99230767,0.24862505,0.236102225,polar_coef
